지역,아파트,면적,가격,층
강원도 강릉시 견소동,송정한신,59.8,10900,5
강원도 강릉시 견소동,송정한신,116.175,18500,10
강원도 강릉시 견소동,송정해변신도브래뉴아파트,84.99,25000,6
강원도 강릉시 견소동,송정해변신도브래뉴아파트,84.99,20600,3
강원도 강릉시 견소동,송정해변신도브래뉴아파트,84.99,20500,1
강원도 강릉시 교동,강릉 교동 풍림아이원 아파트,84.9964,29200,14
강원도 강릉시 교동,강릉교동롯데캐슬1단지,135.1727,34300,9
강원도 강릉시 교동,강릉교동롯데캐슬2단지,118.0686,32500,2
강원도 강릉시 교동,교동1주공,59.89,16200,10
강원도 강릉시 교동,교동1주공,84.84,21550,9
강원도 강릉시 교동,교동1주공,84.84,21800,4
강원도 강릉시 교동,교동1주공,84.84,17500,4
강원도 강릉시 교동,교동1주공,84.84,20300,1
강원도 강릉시 교동,교동1주공,84.84,18600,3
강원도 강릉시 교동,교동2현대,84.97,20400,1
강원도 강릉시 교동,교동2현대,84.97,22500,4
강원도 강릉시 교동,교동3주공,59.86,16600,10
강원도 강릉시 교동,교동3주공,59.84,16100,7
강원도 강릉시 교동,교동3주공,59.86,17300,4
강원도 강릉시 교동,교동3주공,59.79,16150,2
강원도 강릉시 교동,교동이-편한세상,84.7155,25000,15
강원도 강릉시 교동,교동이-편한세상,84.7155,25000,3
강원도 강릉시 교동,교동이-편한세상,123.7566,32500,3
강원도 강릉시 교동,부영3차,84.93,20000,1
강원도 강릉시 교동,부영3차,84.93,17300,1
강원도 강릉시 교동,부영3차,84.93,16800,11
강원도 강릉시 교동,부영3차,84.93,19000,7
강원도 강릉시 교동,부영3차,84.93,19600,3
강원도 강릉시 교동,부영3차,84.93,20300,4
강원도 강릉시 교동,부영3차,84.93,19400,7
강원도 강릉시 교동,부영5,84.93,19500,15
강원도 강릉시 교동,부영5,84.93,19600,6
강원도 강릉시 교동,부영6,84.9763,20000,10
강원도 강릉시 교동,부영6,84.9763,20000,13
강원도 강릉시 교동,부영6,84.9763,16950,1
강원도 강릉시 교동,서일2,27.75,4600,1
강원도 강릉시 교동,한신,59.84,13200,16
강원도 강릉시 교동,현대,84.945,14700,5
강원도 강릉시 교동,현대하이빌,122.74,28500,6
강원도 강릉시 남문동,삼익그린맨션,164.754,21000,12
강원도 강릉시 내곡동,내곡동현대,59.84,14500,4
강원도 강릉시 내곡동,내곡동현대,84.865,17100,14
강원도 강릉시 내곡동,내곡동현대,84.99,15100,3
강원도 강릉시 내곡동,내곡시영,39.3,4000,5
강원도 강릉시 내곡동,내곡한라,59.97,11700,9
강원도 강릉시 노암동,노암2주공,42.74,4200,1
강원도 강릉시 노암동,노암3한라,39.762,7400,11
